,time,tweet,country,retweet_count,sentiment
439,2019-11-21 09:31:00,Profiter de sa playlist Replay 2019 sur Apple Music tutorial AppleMusic AppleMusicReplay musique iPhone11 iPhone11Pro iPhone11ProMax iPhoneXS iPhoneXSMax iPhoneXR iPhoneX iPhone8 iPhone7 iPadPro iPadAir iPad jcsatanas ,Canada,20,Neutral
942,2019-11-20 16:29:02,A break from my new book info I love this shot snap of my son I d just gotten my iPhone 11 Pro and this is night time available light Rodeo Beach Marin ,India,20,Positive
941,2019-11-20 16:29:32, 2x iPhone 11 Pro Max How to win Retweet and like Follow Me iPhone free11 FREE iPhone 11 ,Australia,20,Positive
940,2019-11-20 16:29:41, wallpapers MacBookPro16 MacBook Pro 16 inch Series Modd wallpaper for iPhone11ProMax iPhone11Pro iPhone11 ,Canada,20,Neutral
944,2019-11-20 16:25:09, protectyrbubble lasercrypto20 B4BF1 Iphone11 ,Netherlands,20,Neutral
943,2019-11-20 16:25:16, gentooshop i want iPhone11 so i can charge it,Australia,20,Neutral
782,2019-11-20 21:00:59,iPhone 11 amp XS Installation Video BTS ARMY JIN JUNGKOOK RM V JIMIN JHOPE SUGA BEST Screenprotector Premium Glass Cracked Screen happy fun ,United States,19,Positive
442,2019-11-21 09:16:03,Always I pay in BinDawoodco with STCPay IPhone11 STCPay IPhone11 STCPay,Unknown,19,Neutral
178,2019-11-21 18:30:06,Finally iPhone 11 Apple iPhone11 ,Unknown,19,Neutral
931,2019-11-20 16:42:42, iPhone AirPods Audio Sharing on iOS 13 AirPods AirPods Pro Beats Solo3 Beats studio3 Powerbeats Pro Powerbeats3 Beats ,Unknown,18,Neutral
671,2019-11-21 00:24:33, SleepNiceCo iPhone11 pro max make it true please,Unknown,18,Positive
380,2019-11-21 12:17:24, OwlGiver Iphone11,United States,18,Neutral
802,2019-11-20 20:18:32,SCONTI Amazon iTech d AUTUNNO 20 novembre 2019 ,Australia,17,Neutral
672,2019-11-21 00:22:50, wallpapers homescreen lockscreen wallpaper iPhoneXSMAX iPhone11 iPhone11ProMAX iPhone11Pro iPhone ,India,17,Neutral
852,2019-11-20 19:06:19, Apple has launched three new Smart Battery Cases for the iPhone11 iPhone11Pro and iPhone11ProMax offering up to 5 ,Canada,17,Neutral
364,2019-11-21 12:39:13,iphone11 ,Canada,17,Neutral
374,2019-11-21 12:26:46, Brand New Sealed Factory Unlocked iPhone11 128GB gt gt Ghc 5 400 Call WhatsApp iMessage 0558690908 iTech911 iBuy i ,India,17,Neutral
819,2019-11-20 19:46:00,Hey Apple looks like there s a few of us having Siri issues on our upgraded device iphone11 time to shed some light ,Australia,17,Neutral
726,2019-11-20 22:53:59, Whitestone Dome Glass iphone 11 Pro Max installation Guide Screen Protector ,India,17,Neutral
848,2019-11-20 19:10:07, So I saw a lady advertising iPhone11 London use for N320k I dont know whether it is true or not oo But if it is true ,India,17,Positive
867,2019-11-20 18:57:11, So someone s follower just got her a brand new iphone11 today in this app This same Twitter that I haven t gotten anyt ,Unknown,17,Neutral
748,2019-11-20 22:30:31,black chinese snake rose simple aesthetic art diy phonecases customcases iphonecase iphone8plus iphone11promax iphone11 galaxys10 galaxys9 iphonex galaxys10plus iphonexsmas iphonexr graffiti art blackartists blackart sketch supportblackart ,United States,17,Neutral
532,2019-11-21 05:09:43,stcpya become master of all money transfer even western union money transfer 5 SAR service charges on competitive currency rates IPhone11 STCPay ,Australia,16,Neutral
773,2019-11-20 21:13:56, Apple s iPhones haven t been known for having the best battery life so last year the company introduced its own battery cases For this year s iPhone11 and iPhone 11 Pro family Apple has new versions of these cases but they also added a shutter button for the camera ,United States,16,Positive
625,2019-11-21 02:17:16, Apple SmartBatteryCase for the iPhone11 11 Pro amp 11 Pro Max have been released Priced is set at 129 and are immediate ,Canada,16,Neutral
770,2019-11-20 21:19:10, New Wallpaper Holmby Hills Wallpapers wallphone artwork art Abstract abstractart abstractpainting digitalart d ,Australia,16,Neutral
774,2019-11-20 21:10:36, The next winner of iPhone11 Pro Max can be you if you simply Like Retweet this post and comment Done ,Singapore,16,Neutral
798,2019-11-20 20:29:00, STCPay The Lowest Remittance Fees in Kingdom of Saudi Arabia just only SR fee for cash pick up or Direct to the bank STCPay and Western Union iphone11 stcpay STCpay ,Singapore,16,Neutral
189,2019-11-21 18:08:57,Man I m now an official complainer iphone11 issues Sent a ton of messages to AppleSupport They ask me to contact the app companies likes Facebook What is this and at the end it freezes fbplatform ,France,16,Neutral
529,2019-11-21 05:19:31,Selling the Jordan Retro 10 for 85 barley wore them amp Jordan Retro 9 for 80 good condition both in a size 8 5 in men Also selling a purple iPhone 11 case for 5 HMU MUST BE CASHAPP OR PAYPAL READY fmu flomo floridamemorialuniversity jordans jordanshoes iphone11 ,Unknown,16,Positive
715,2019-11-20 23:08:38, STCPay nermar8967 Congratulations I always pay my bills At DanubeCo Thank you IPhone11 STCPay,France,16,Neutral
508,2019-11-21 06:35:46, raitokoya iPhone11,Unknown,16,Neutral
564,2019-11-21 04:35:59, Wallpapers homescreen Background walls Free iPhone11Pro iPhone11 4K Apple Soon galaxys9 galaxys8 GalaxyNot ,United States,16,Positive
760,2019-11-20 21:41:30, The Wallpaper Original wallpaper artwork from Radim Kacer fashion theme luxuryart artist ,Unknown,16,Positive
550,2019-11-21 04:54:45,Help me out Which one should i buy Joker iphone11 ,Unknown,16,Neutral
610,2019-11-21 02:41:56, Apple s iPhone11 amp iPhone11Pro Smart Battery Cases are official with a dedicated camera button by JoshuaSwingle https ,France,16,Neutral
919,2019-11-20 17:11:42, Guess who just got an iPhone11 ,United States,13,Neutral
789,2019-11-20 20:48:40, hsieh zachary i want custom iphone11 please,Germany,13,Neutral
675,2019-11-21 00:18:25,I hate that iphone11 commercial every time it comes on I think I have a text and I don t Half the time I am not watching TV it s just on so I don t realize it until I look at my phone and there s no text lol,Unknown,13,Neutral
973,2019-11-20 15:45:08,The best iPhone 11 Pro screen protectors to stay scratch free and unblemished iphone11 iPhone11Pro iPhone11ProMax screenprotector WhitestoneDomeGlass Keep your screen scratch free for good ,India,13,Positive
864,2019-11-20 19:00:43,iOS 13 3 beta 3 is out Could we see a new iOS version to support the new cases iPhone11 iPhone11Pro iPhone11ProMax iOS13 iOS133 ,Australia,13,Neutral
947,2019-11-20 16:24:19,Does anyone else have a problem hearing the vibration on iPhone11 I always have missing calls and I never hear it vibrating ugh I m so over this phone ,Unknown,13,Neutral
970,2019-11-20 15:51:37, Like if you want to win Iphone11,United States,13,Positive
777,2019-11-20 21:09:57, Like fast to win iPhone11,Canada,13,Positive
969,2019-11-20 15:51:41,iPhone 11 vs Galaxy S10 What s the Difference ,Unknown,13,Neutral
708,2019-11-20 23:15:01,iPhone 11 amp XS Installation Video BTS ARMY JIN JUNGKOOK RM V JIMIN JHOPE SUGA BEST Screenprotector Premium Glass Cracked Screen happy fun oh ,Canada,13,Positive
704,2019-11-20 23:17:15, Wallpapers Apple Background walls lockscreen homescreen MacBookPro16 V1 MidnightGreen Private Disk N 0036 iPhone11 ,Netherlands,12,Neutral
214,2019-11-21 17:15:15, Hi dear all friends you now that Dual lens rear camera Ultra Wide and Wide lenses 6 1 Liquid Retina dis ,Singapore,12,Neutral
920,2019-11-20 17:11:21,Whose better in terms of remittance services IPhone11 STCPay,Unknown,12,Positive
177,2019-11-21 18:30:18,iPhone AirPods Audio Sharing on iOS 13 AirPods AirPods Pro Beats Solo3 Beats studio3 Powerbeats Pro Powerbeats3 Beats Solo Pro ,Canada,12,Neutral
608,2019-11-21 02:42:25,iPhone 11 Pro Max Test Night Shooting in the Rain 4K ,Unknown,12,Neutral
624,2019-11-21 02:17:17, Wallpapers homescreen Background walls Free iPhone11Pro iPhone11 4K Apple splash Soon galaxys9 galaxys8 G ,Unknown,12,Positive
725,2019-11-20 22:54:15, iPhone 11 Pro Whitestone Dome Glass installation ,Unknown,12,Neutral
333,2019-11-21 13:23:17, 24K Gold Plated iPhone 11 PRO gold iPhone11 ,Australia,10,Neutral
976,2019-11-20 15:35:21, GSM iPhone11 RedmiNote GalaxyM30s Nokia7 Xperia5 Mate30 GalaxyNote Huawei will announce the nova 6 on December 5 ,Singapore,10,Neutral
784,2019-11-20 20:59:21,What do you think of our top ten smartphones 2019 jeesto sumsung huawei iPhone11 OnePlus7T Tech Samsung Galaxy S10 S10 Plus Huawei P30 Pro iPhone 11 Pro 11 Pro Max Samsung Galaxy Note 10 Sumsung Note10Plus iPhone 11 Huawei P30 OnePlus 7T OnePlus 7T Pro Oppo Reno 10x Zoom,India,10,Neutral
301,2019-11-21 14:05:30,NEW MIRROR iPhone11 available ADR mirroriphonecase yslbeauty secondabase playwithtechnology superfluous www vegan iphone11 iphone11pro regram fashion love style apple ,Australia,10,Positive
243,2019-11-21 16:28:03, STCPay Falcon2460 If your first International Remittance Use my Referral Code AD5YI3 We both get Rewards from StcPay IPhone11 STCPay,Canada,9,Neutral
828,2019-11-20 19:35:15,How much is an iphone11 neh bathong ,Singapore,9,Neutral
278,2019-11-21 15:06:25,Lol all dem Cv guys are using iphone11,Unknown,9,Positive
124,2019-11-21 20:09:02, When she calls you ANDREW after you ve just bought her the iPhone11 but you are BENEDICTOR ,Unknown,9,Neutral
857,2019-11-20 19:02:53,So I saw a lady advertising iPhone11 London use for N320k I dont know whether it is true or not oo But if it is true what of the people that bought it a few weeks back for 500k how will they feel ,Australia,9,Neutral
579,2019-11-21 04:14:42, SirPareshRawal Hey BJP4India why have you delayed Diwali bonus to SirPareshRawal while gifting iPhone11 to rest of the ,Germany,9,Neutral
865,2019-11-20 19:00:07,We got that new new covered ,Canada,9,Neutral
212,2019-11-21 17:18:53,When u just bought IPhone11 and boom the trumpet sounds ,United States,9,Neutral
170,2019-11-21 18:40:21,Apple iPhone 11 Silicone Case for 27 99 30 off deal iphone11 Apple ,United States,9,Neutral
172,2019-11-21 18:36:45, Like fast to win an iPhone11,Canada,9,Positive
222,2019-11-21 17:02:06,Put your phone down driving trucks trucking iPhone11 ,Netherlands,9,Neutral
841,2019-11-20 19:19:44,The colors of this season fallvibes naturelovers nature shots norwaynature sunset sunsetphotography seasoncolours iphone11 woods familytime outdooradventures worldcaptures worldtravelscapes ,Canada,9,Neutral
230,2019-11-21 16:47:57, Wallpapers Apple Background wallpaper walls lockscreen homescreen painter Private Disk N 0042 iPhone11 iPhone11Pro iPhone11ProMax iPhoneX iPhoneXSMAX iPhoneXSMax iPhoneXR Other iPhones gt gt Like Follow Retweet lt lt Prod By Hk3ToN ,Unknown,9,Neutral
241,2019-11-21 16:30:37, michael louis michaellouis Follow and buy beautiful accessories for you and your phone access accessories cases iPhone11 samsung WomenWhoCode women men,Unknown,8,Positive
631,2019-11-21 02:08:52, Apple PLEASE make a small iPhone Pretty pretty please AppleSupport tim cook I can t stand this massive phone apple iPhone11 iPhone11ProMax iphone12 iPhoneSE2,India,8,Neutral
51,2019-11-21 23:09:17,Imma tell my kids this was the iPhone11 ,United States,8,Neutral
879,2019-11-20 18:35:25,Apple has released brand new Smart Battery Cases for the iPhone 11 series The case features a button that takes pictures and videos whether your phone is locked or not apple iphone iphone11 iphonebatterycase ,United States,8,Neutral
162,2019-11-21 18:50:33,UPDATED New 100 legal UNLOCK method for iPhone available only on our website Update Server UnlockiCloud Removeicloud deleteicloud bypassicloud appleid ios apple UnitedKingdom UnitedStates icloud iPhone11 LockerCodes LockScreen ,Australia,8,Neutral
933,2019-11-20 16:42:00,Best Leather Cases to Protect Your iPhone11 from Accidental Drop Accessories LeatherCase,India,8,Positive
156,2019-11-21 19:02:47, Apple is selling Smart Battery Cases for the iPhone11 line now ,Unknown,8,Neutral
144,2019-11-21 19:23:12,Getting my new iPhone 11 max pro woohoo iPhone11ProMax iPhone11 Apple SmithHavenMall,Unknown,8,Neutral
622,2019-11-21 02:24:00,Get the extended battery life with some of the best battery cases for iphone 11 which is available in the market Accessories Cases BatteryCases iPhone11 ,Canada,8,Positive
259,2019-11-21 15:50:00, Wallpapers homescreen Background android Samsung Google walls Free iPhone11Pro iPhone11 4K Soon galaxys9 ,India,8,Positive
158,2019-11-21 18:57:57,Roughly every30 minutes I m taking a screenshot of my home screen who moved the buttons on iPhone11 AppleFail ,Unknown,8,Neutral
553,2019-11-21 04:41:33,I was thinking the same thing Battery life on my iPhone 11 is stellar Battery life on the iPhone 11 Pro Max is beyond stellar I guess if you want 3 4 days of battery life then yeah get the battery cases iPhone11 TimApple ios ,Unknown,8,Neutral
992,2019-11-20 15:14:33, 6 6 7 7 8 8 x xs xr xsmax Iphone11 iphone11pro iphone11promax A3s A37 F9 A5s A7 S10plus A10 A20 A30 140 20 ems40 ,United States,8,Neutral
977,2019-11-20 15:33:46, GSM iPhone11 RedmiNote GalaxyM30s Nokia7 Xperia5 Mate30 GalaxyNote Realme teases truly wireless headphones ahead of December launch ,India,8,Neutral
878,2019-11-20 18:37:48,Apple has just released the new smart battery case for iPhone11 lineup It has a dedicated camera button for quickly opening the Camera app which is really cool I like it ,Netherlands,8,Neutral
393,2019-11-21 11:43:42,iphone11 otw,United States,8,Neutral
39,2019-11-21 23:43:52,On the elliptical and Kate the iPhone11 thought I was driving ,France,8,Neutral
163,2019-11-21 18:47:12,We ve added new Superfly Air Slim iPhone11 Pro Clear at our store Check it out here shop onlineshopping shoponline,India,8,Neutral
862,2019-11-20 19:02:01, wallpapers homescreen lockscreen LiquidLounge Vol2 Delirium wallpaper for iPhone11ProMax iPhone11Pro iPhone11 iPhoneXSMAX iPhoneXR iPhoneXS iPhoneX ALL other iPhone Android Download Prod By fresk0 ,France,8,Neutral
134,2019-11-21 19:40:03,Best Tempered Glass for iPhone 11 11 Pro 11 Pro Max WhiteStone Dome iPhone11 iPhone11Pro iPhone11ProMax screenprotector PROTECT YOUR DEVICE WITH THE DOME GLASS ,Australia,8,Positive
62,2019-11-21 22:38:53, NEW VIDEO ALERT Just dropped Our Top 5 Features of the newest iPhones RT s always appreciated mi familia ,Unknown,8,Neutral
581,2019-11-21 04:09:36, 4 days to my birthday birthday boy freelance AbuDhabi goodmorning November iPhone11 love SundayMotivation TGIF ,United States,8,Positive
548,2019-11-21 04:55:11, Can t Rename Your AirPods or Access the AirPods Menu Settings How to fix this issue ,Canada,8,Neutral
839,2019-11-20 19:20:46, Apple iPhone11 Smart Battery Case has a dedicated camera button SlashGear slashgear ,Singapore,8,Neutral
232,2019-11-21 16:41:17, New Wallpaper Relaxing Design Link Wallpapers wallphone artwork art Abstract abstractart ,United States,8,Neutral
959,2019-11-20 16:06:35,nct dream wayv 127 taekook jikook au smut fluff nsfw 18 iphone11 rt like deal promo gc gain mutuals kpop bts twice fancam mommy daddy follow spam ariana grande shawn mendes one direction 1D shane jeffree stan fortnite joker sco paa to manaa bomboclaat ,Unknown,8,Neutral
413,2019-11-21 10:51:20, Says the idiot that also got an iPhone11 yesterday Only difference is yours is purple do not let me curse you fam I ,Unknown,7,Negative
175,2019-11-21 18:35:42,Is the bts x casetify collaboration on available for iphone11 ,Germany,7,Positive
160,2019-11-21 18:57:12, ONE OF JIHOON S FANSITES FINALLY BOUGHT HIM AN IPHONE11 NO MORE ANDROID UJI ,Canada,7,Neutral
173,2019-11-21 18:35:45, Who want to win Iphone11 Pro Max Like and comment Me ,United States,7,Positive
167,2019-11-21 18:42:07, HUGE GIVEAWAY iPhone 11 512GB How to win Retweet and like Follow Me GiveawaysFree4 Comment Done Tur ,Unknown,7,Positive
895,2019-11-20 18:06:54,BIG SALE Luxury PU Leather Wallet Cover Case For iPhone 11 Pro X XS Max XR 8 Plus 7 6 6S 5 5S SE Flip Book Business iPhone11 by Now Sellers starting at 19 99 Shop Now ,Unknown,7,Neutral
53,2019-11-21 23:07:13,If anything this iPhone 11 has made me question my hand size and is on the verge of giving me Carpel tunnel iPhone11 FirstWorldProblems smallhandsyndrone,France,7,Neutral
785,2019-11-20 20:56:01, wallpapers NEW iPhone Wallpapers Pack 9 contains 10 new wallpaper for iPhone11ProMax iPhone11Pro iPhone1 ,Unknown,7,Neutral
165,2019-11-21 18:45:53, hsieh zachary Im a Huge FAN if fans can really win send me a iPhone so I can confirm it lol iphone11,Germany,6,Positive
491,2019-11-21 07:13:36,iPhone11 ,Unknown,6,Neutral
649,2019-11-21 01:24:29, jscel marcalainb Is that the new iPhone11 ,United States,6,Neutral
76,2019-11-21 22:10:12, nylaawan Ist tell me how u got iphone11 pro max Ak kidney bechnay main aa jayega ,France,6,Neutral
967,2019-11-20 15:56:24,2x iPhone 11 Pro Max How to win Retweet and like Follow Me iPhone free11 FREE iPhone 11 Comment Done Turn on my notifications BONUS use code corefect in the fortnite item shop to support us 2 Winner Ends in 24 Hours GOODLUCK ,India,6,Positive
922,2019-11-20 17:08:52,It s been a two months today when apple released the new iPhone11 line up What are your feelings on it if you have one And if not what phone are you using and is it worth upgrading ,Unknown,6,Neutral
898,2019-11-20 17:58:22,Wow Win an iPhone 11 and OtterBox Defender Case ProClipUSA giveaway Ends Dec 16th 50 US amp DC amp CAN Void QC Enter Now to have a win a new iPhone11 ,Netherlands,6,Positive
238,2019-11-21 16:32:37,ah lovely wee delivery just arrived freeupgrage iphone11 have a plesent day folks ,Unknown,6,Positive
274,2019-11-21 15:24:16, lieewann juwe07 Twitter For Iphone11 hahaha ,Australia,6,Neutral
419,2019-11-21 10:32:07, new love iphone11 ,Unknown,6,Positive
552,2019-11-21 04:46:18, theoffgarrett I will never be the one who win iphone11,Germany,6,Positive
261,2019-11-21 15:47:24,Add a pop of color with our new extra buttons for the Cirrus 2 case Delivers a fully customizable product for your daily preferences iPhone11 Cirrus2 Nimbus9 ,Unknown,6,Neutral
269,2019-11-21 15:37:46, Who thought it was a good idea to make the iPhone camera go through mitosis AppleEvent iPhone11 ,France,6,Positive
418,2019-11-21 10:32:08, Good test of night mode on the iPhone11 on a 6am run in a dark London shotoniPhone ShotoniPhone11 ,France,6,Neutral
875,2019-11-20 18:49:56,Happy new phone day to me iphone11 geek ,United States,5,Positive
63,2019-11-21 22:34:30, New video Look Mom NO GIMBAL iPhone11 Ultra Wide in Austin smartphone filmmaking Watch ,Australia,5,Neutral
454,2019-11-21 08:35:00, raitokoya mumei new iPhone11,Canada,5,Neutral
486,2019-11-21 07:37:35,Says the idiot that also got an iPhone11 yesterday Only difference is yours is purple do not let me curse you fam In other news I m so glad we d be twinning ,United States,5,Neutral
496,2019-11-21 07:00:09,Brand new iPhone 11 64gb 270k DUAL SIM 285k dallas dallasonline dallasstore phones ikeja computervillage iphone11 tech applestore iphone iphonex apple gadgets samsung note10plus notes10 smartphones ios technology electronics mobiles unboxing instagood ,India,5,Neutral
876,2019-11-20 18:40:48, IPhone11 STCPay Shall I be the winner this time ,Unknown,5,Neutral
678,2019-11-21 00:13:33,Technolust ,Unknown,5,Neutral
877,2019-11-20 18:39:05, STCPay waslah sa stcpay application excellent payment ease As well as when all purchases 4 times you get a financial reward I used the app to buy from the following stores SASCO KSA DanubeCo STCPay STCPay IPhone11 STCPay,Unknown,5,Positive
424,2019-11-21 10:13:22, siyabee bhubaza I already got an iPhone11 MacBook and the Cucci Flora perfume so ,Canada,5,Neutral
829,2019-11-20 19:31:22,Got the first hand on the new crystal clear Affinity Will be available next week Stay Tuned iPhone11 iPhone11pro iPhone11promax Poeticcases PoeticProtects ,United States,5,Neutral
873,2019-11-20 18:51:24, Apple SmartBatteryCase for the iPhone11 11 Pro amp 11 Pro Max have been released Priced is set at 129 and are immediately available for purchase at 1st time they arrive with a dedicated camera button iPhone11Pro iPhone11ProMax ,Canada,5,Positive
271,2019-11-21 15:37:17,New Verizon Pre Black Friday 2019 deal Buy one Apple iPhone 11 get a second one for free apple iphone iphone11 verizon Details on our iPhone Price Tracker at ,Unknown,5,Neutral
685,2019-11-20 23:58:29, ColourPopCo Getting the Frozen 2 collection the Disney collection or the Lippie stix box would literally make my year colourpopgivesback or an iPhone11 pro ,Australia,5,Neutral
67,2019-11-21 22:29:37,AYOOO this camera on the iphone11 dope af i went to take a pic of something in the dark and why it started adjusting the lightening itself before taking the pic,Netherlands,5,Neutral
33,2019-11-21 23:55:03,Jihoon going iphone11 pro,Unknown,5,Neutral
360,2019-11-21 12:44:09, Midday Update iTech911 Still Selling Brand New Sealed Factory Unlocked iPhone11 64GB gt gt Ghc 5 200 Call WhatsApp iMessa ,Netherlands,5,Neutral
